PTS,FGA,FTA,
33.1,20.1,11.7,
32.4,22,10.5,
32.2,20.7,9.6,
31.4,20.3,10.9,
31.1,20.3,12.3,
30.1,21.1,8.4,
29.4,20.2,5,
29.1,18.3,7.1,
28.9,22.2,5.9,
28.3,20.6,5.4,
27.8,20.1,6.8,
27.1,20.1,4.6,
26.6,20.6,5.1,
26.2,19,8.8,
26.2,19.9,8.1,
26,16.2,8.6,
25.9,17.2,7.9,
25.6,17.3,6,
25.1,18.6,6.9,
25,18.2,6,
24.8,18,5.6,
24.7,18.6,6,
24.6,19.5,5.3,
24.5,17.6,7.1,
24.5,14.8,6,
24.2,18.5,6.7,
24,17.6,5.8,
23.8,16.8,5.4,
23.8,17.9,5.3,
23.3,20,3.4,
23.2,17.6,4.6,
23.2,15.7,6.4,
22.9,13.9,8.7,
22.1,17.9,6.1,
22,17.7,5.2,
21.9,18.1,1.9,
21.6,16.4,4.7,
21.6,14.9,5.1,
21.5,16.2,3.5,
21.2,17.8,3.7,
21.1,18.9,3.5,
21.1,16.9,2.9,
21,14.5,6.2,
20.9,17.9,3.2,
20.8,16.9,4,
20.8,14.8,4.7,
20.7,15,3.6,
20.5,14.5,5.4,
20.5,17.8,2.6,
20.4,15.6,5.1,